bench,0,1-2,3-5,6-10,11-50,51-100,101-500,501+,total
tpcds,2.02,11.11,50.51,28.28,8.08,0.00,0.00,0.00,99
tpch,18.18,45.45,27.27,9.09,0.00,0.00,0.00,0.00,22
ssb,0.00,23.08,76.92,0.00,0.00,0.00,0.00,0.00,13
dsb,0.00,0.00,49.06,37.74,13.21,0.00,0.00,0.00,106
jcch,21.74,43.48,26.09,8.70,0.00,0.00,0.00,0.00,23
job,0.00,0.00,22.12,60.18,17.70,0.00,0.00,0.00,113
clickbench,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43
cab,17.27,49.35,25.56,7.82,0.00,0.00,0.00,0.00,5508
redbench,93.99,0.00,5.21,0.60,0.20,0.00,0.00,0.00,998
prodds,1.87,14.95,47.66,26.17,6.54,1.87,0.93,0.00,107
