bench,0,1-10,11-100,101-1K,1K-10K,10K-100K,100K-1M,1M-10M,>10M,total
tpcds,15.15,0.00,84.85,0.00,0.00,0.00,0.00,0.00,0.00,99
tpch,77.27,4.55,18.18,0.00,0.00,0.00,0.00,0.00,0.00,22
ssb,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13
dsb,47.17,0.00,52.83,0.00,0.00,0.00,0.00,0.00,0.00,106
jcch,78.26,4.35,17.39,0.00,0.00,0.00,0.00,0.00,0.00,23
job,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113
clickbench,25.58,69.77,4.65,0.00,0.00,0.00,0.00,0.00,0.00,43
cab,79.41,4.23,16.36,0.00,0.00,0.00,0.00,0.00,0.00,5508
redbench,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,998
prodds,64.49,1.87,2.80,3.74,19.63,2.80,2.80,0.93,0.93,107
snowflake,1.01,6.08,3.04,10.13,0.00,0.00,0.71,71.94,7.09,98.7
