bench,share_>=0.01,share_>=0.10,share_>=0.30,share_>=0.50,share_>=0.70,share_>=0.90,columns
tpcds,60.14,36.13,18.65,13.75,11.42,8.62,429
tpch,40.98,24.59,6.56,4.92,1.64,1.64,61
ssb,53.45,29.31,10.34,8.62,8.62,5.17,58
dsb,66.90,41.03,18.88,12.59,8.16,6.53,429
jcch,40.98,24.59,6.56,4.92,1.64,1.64,61
job,35.19,18.52,8.33,4.63,1.85,0.00,108
clickbench,93.33,86.67,76.19,68.57,53.33,41.90,105
cab,40.98,24.59,6.56,4.92,1.64,1.64,61
redbench,35.19,18.52,8.33,4.63,1.85,0.00,108
prodds,59.21,40.33,26.57,22.38,14.69,9.79,429
redshift,73.00,60.00,49.00,41.00,33.00,25.00,n/a
