bench,share_>=0.01,share_>=0.10,share_>=0.30,share_>=0.50,share_>=0.70,share_>=0.90,columns
tpcds,35.43,2.56,2.33,1.17,0.93,0.47,429
tpch,0.00,0.00,0.00,0.00,0.00,0.00,61
ssb,0.00,0.00,0.00,0.00,0.00,0.00,58
dsb,37.53,4.20,2.33,1.63,0.70,0.47,429
jcch,0.00,0.00,0.00,0.00,0.00,0.00,61
job,32.41,28.70,23.15,19.44,15.74,13.89,108
clickbench,0.00,0.00,0.00,0.00,0.00,0.00,105
cab,0.00,0.00,0.00,0.00,0.00,0.00,61
redbench,32.41,28.70,23.15,19.44,15.74,13.89,108
prodds,44.06,17.25,15.62,13.29,11.19,4.90,429
redshift,25.00,20.00,16.00,13.50,11.00,7.00,n/a
