bench,INT,TEXT,DECIMAL,DATE,OTHER,columns
tpcds,44.06,34.27,18.65,3.03,0.00,429
tpch,31.15,47.54,14.75,6.56,0.00,61
ssb,44.83,55.17,0.00,0.00,0.00,58
dsb,44.06,34.27,18.65,3.03,0.00,429
jcch,31.15,47.54,14.75,6.56,0.00,61
job,54.63,45.37,0.00,0.00,0.00,108
clickbench,69.52,26.67,0.00,3.81,0.00,105
cab,31.15,47.54,14.75,6.56,0.00,61
redbench,54.63,45.37,0.00,0.00,0.00,108
prodds,32.87,45.45,18.65,3.03,0.00,429
redshift,18.22,53.85,15.12,8.81,4.00,99.89999999999999
tableau,25.63,48.85,20.52,4.10,0.90,99.89999999999999
