bench,0,2,3-4,5-8,9-16,17-64,65-256,>256,total
tpcds,82.83,6.06,9.09,2.02,0.00,0.00,0.00,0.00,99
tpch,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22
ssb,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13
dsb,92.45,3.77,3.77,0.00,0.00,0.00,0.00,0.00,106
jcch,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23
job,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113
clickbench,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43
cab,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5508
redbench,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,998
prodds,80.37,6.54,7.48,2.80,0.93,0.93,0.93,0.00,107
